               chr       pos    ci.low   ci.high       lod       pval
               chr      pos    ci.low   ci.high       lod        pval
chr01_3572627    1 18.02301  5.575005  27.81101 5.1204325 0.001984127
chr02_38614728   2 32.66802 29.261019  42.45203 2.6878709 0.350198413
chr03_5064216    3 47.04302  0.000000 117.80107 1.2827116 1.000000000
chr04_3261417    4 31.65801 18.460010  40.77101 4.4856597 0.008928571
chr05_1851327    5 16.63401  0.000000  67.84701 2.2296210 0.645833333
chr06_47038534   6 86.35904 40.918022  98.56206 1.2999447 0.999007937
chr07_2347321    7 22.38501  0.000000  42.91002 2.5367250 0.451388889
chr08_64161270   8 89.41405  0.000000  99.22205 0.9646622 1.000000000
chr09_2480858    9 32.77901 21.453010 102.14705 2.2563919 0.624007937
chr10_62140259  10 70.65303 45.233020  96.39405 1.4111726 0.998015873
chr11_4924585   11 30.71403  8.261009 103.37206 2.0247594 0.810515873
chr12_1550119   12 11.26500  0.000000  48.10602 1.4302762 0.997023810
 
               chr       pos    ci.low   ci.high       lod      pval
chr01_4205504    1  22.36401 16.455010  27.05501 7.6192545 0.0000000
chr02_38614728   2  32.66802 22.010017  97.18608 2.3771321 0.5565476
chr03_5064216    3  47.04302 44.263016 107.63306 1.6987201 0.9563492
chr04_3261417    4  31.65801  0.000000  40.77101 2.6266678 0.3938492
chr05_1851327    5  16.63401  0.000000  36.31801 2.2458119 0.6567460
chr06_2221187    6  10.14200  0.000000  98.56206 0.7424428 1.0000000
chr07_340497     7   0.00000  0.000000  35.74401 1.5900572 0.9751984
chr08_52827688   8  36.11902  0.000000  99.22205 1.0129587 1.0000000
chr09_67733308   9  77.27904  9.478005 130.55805 1.6166868 0.9692460
chr10_62140259  10  70.65303  0.000000  96.39405 1.2609761 1.0000000
chr11_56272429  11 103.37206 12.909012 103.37206 1.3721328 0.9970238
chr12_2129661   12  18.28301  0.000000  93.13604 1.2961793 1.0000000
 
               chr       pos   ci.low   ci.high      lod       pval
chr01_3572627    1  18.02301 11.26801  27.81101 3.120023 0.15376984
chr02_38614728   2  32.66802 29.26102  58.35404 2.916298 0.23710317
chr03_67259598   3 106.79606 83.80804 120.64508 2.325083 0.59027778
chr04_3261417    4  31.65801 28.09101  40.77101 4.061835 0.01984127
chr05_1851327    5  16.63401  0.00000  53.30701 2.221420 0.67361111
chr06_47038534   6  86.35904 79.77604  98.56206 2.368814 0.55853175
chr07_340497     7   0.00000  0.00000  35.74401 1.956175 0.84623016
chr08_64035568   8  87.71805 75.15104  97.45805 2.536808 0.44742063
chr09_2480858    9  32.77901 21.45301 102.14705 2.147259 0.71726190
chr10_62244292  10  72.64603 49.38402  96.39405 1.560158 0.98809524
chr11_4924585   11  30.71403 26.90503 101.48805 1.967658 0.83630952
chr12_4858882   12  42.30702  0.00000  84.48004 1.158667 1.00000000
 
               chr       pos   ci.low   ci.high      lod        pval
chr01_3279061    1  16.45501 11.26801  27.05501 3.698669 0.045634921
chr02_38614728   2  32.66802 30.52802  57.14704 2.828635 0.255952381
chr03_67259598   3 106.79606 83.80804 121.53608 1.973681 0.823412698
chr04_3261417    4  31.65801 28.09101  40.77101 4.633861 0.006944444
chr05_1851327    5  16.63401  0.00000  53.30701 2.183769 0.662698413
chr06_47038534   6  86.35904 79.77604  98.56206 2.373949 0.546626984
chr07_2347321    7  22.38501  0.00000  46.50602 2.000223 0.805555556
chr08_64035568   8  87.71805 75.15104  99.22205 1.912922 0.860119048
chr09_2480858    9  32.77901 21.45301 102.14705 1.881586 0.881944444
chr10_62140259  10  70.65303 45.23302  96.39405 1.362905 0.998015873
chr11_4924585   11  30.71403 26.90503 101.48805 2.188957 0.658730159
chr12_4682268   12  40.72801  0.00000  84.48004 1.147183 1.000000000
 
               chr        pos    ci.low   ci.high       lod       pval
chr01_88441355   1  89.935059 85.018051 102.55307 3.5409550 0.08134921
chr02_16635348   2   0.571001  0.000000  10.62401 1.9191126 0.85813492
chr03_68702106   3 115.796070  1.387001 124.56708 1.1547695 1.00000000
chr04_6728572    4  49.056017  0.000000 114.68306 2.0034648 0.82440476
chr05_10037656   5  72.238018  0.000000 111.23804 1.1335676 1.00000000
chr06_40599648   6  46.566025 24.744016  79.77604 1.5663573 0.98908730
chr07_65219730   7  84.730036 19.596004 110.85805 1.3740156 0.99900794
chr08_64596507   8  92.034051 63.514033  99.22205 3.5981298 0.07539683
chr09_71476646   9 117.257051 76.029038 130.55805 2.2882796 0.63690476
chr10_62187729  10  71.661032  0.000000  96.39405 1.1771020 1.00000000
chr11_55072513  11  96.414050 51.804037 103.37206 3.2652594 0.13888889
chr12_591995    12   1.204001  0.000000  93.13604 0.9065024 1.00000000
 
               chr        pos   ci.low   ci.high       lod      pval
chr01_95289845   1 116.410088  0.00000 121.26809 1.4407576 0.9940476
chr02_31321918   2   5.502005  0.00000 107.46909 1.7944201 0.9246032
chr03_68702106   3 115.796070 22.11601 124.56708 2.1332635 0.7361111
chr04_3261417    4  31.658014  0.00000 114.68306 0.6405445 1.0000000
chr05_22406142   5  73.851020  0.00000 111.23804 0.7376438 1.0000000
chr06_40599648   6  46.566025 30.61102  87.16204 1.7648699 0.9365079
chr07_65219730   7  84.730036 69.90903  92.71504 1.7034552 0.9613095
chr08_64596507   8  92.034051 45.28302  99.22205 1.9108085 0.8740079
chr09_2248868    9  28.465011  0.00000 130.55805 0.7444467 1.0000000
chr10_62140259  10  70.653031  0.00000  96.39405 0.6998769 1.0000000
chr11_54843429  11  95.224049  9.17001 103.37206 2.0293458 0.8065476
chr12_5680442   12  48.106020  0.00000  93.13604 0.9216055 1.0000000
 
